University ,Faculty,Department,"Title, Name and Surname"
Ankara Bilim Universitesi,Muhendislik Ve Mimarlik Fakultesi,Yazilim Muhendisligi Bolumu,Profesor Aydan Ersoz
Ankara Bilim Universitesi,Insan Ve Toplum Bilimleri Fakultesi,Siyaset Bilimi Ve Kamu Yonetimi Bolumu,Profesor Aysu Kes Erkul
Ankara Bilim Universitesi,Insan Ve Toplum Bilimleri Fakultesi,Yonetim Bilisim Sistemleri Bolumu,Profesor Cem Harun Meydan
Ankara Bilim Universitesi,Hukuk Fakultesi,Ozel Hukuk Bolumu,Profesor Caglar Ozel
Ankara Bilim Universitesi,Muhendislik Ve Mimarlik Fakultesi,Bilgisayar Muhendisligi Bolumu,Profesor Hakan Caglar
Ankara Bilim Universitesi,Muhendislik Ve Mimarlik Fakultesi,Elektrik-elektronik Muhendisligi Bolumu,Profesor Halim Haldun Goktas
Ankara Bilim Universitesi,Muhendislik Ve Mimarlik Fakultesi,Elektrik-elektronik Muhendisligi Bolumu,Profesor Ismail Coskun
Ankara Bilim Universitesi,Hukuk Fakultesi,Ozel Hukuk Bolumu,Profesor Kadir Arici
Ankara Bilim Universitesi,Insan Ve Toplum Bilimleri Fakultesi,Isletme Bolumu,Profesor Onur Ozsoy
Ankara Bilim Universitesi,Guzel Sanatlar Ve Tasarim Fakultesi,Film Tasarimi Ve Yonetimi Bolumu,Profesor Onder Erkarslan
Ankara Bilim Universitesi,Guzel Sanatlar Ve Tasarim Fakultesi,Ic Mimarlik Ve Cevre Tasarimi Bolumu,Profesor Ozlem Erdogdu Erkarslan
Ankara Bilim Universitesi,Guzel Sanatlar Ve Tasarim Fakultesi,Yeni Medya Ve Iletisim Bolumu,Profesor Yavuz Demir
Ankara Bilim Universitesi,Muhendislik Ve Mimarlik Fakultesi,Bilgisayar Muhendisligi Bolumu,Docent Alaa Eleyan
Ankara Bilim Universitesi,Insan Ve Toplum Bilimleri Fakultesi,Siyaset Bilimi Ve Kamu Yonetimi Bolumu,Docent Basar Baysal
Ankara Bilim Universitesi,Guzel Sanatlar Ve Tasarim Fakultesi,Ic Mimarlik Ve Cevre Tasarimi Bolumu,Docent Ece Kumkale Acikgoz
Ankara Bilim Universitesi,Muhendislik Ve Mimarlik Fakultesi,Bilgisayar Muhendisligi Bolumu,Docent Ender Sevinc
Ankara Bilim Universitesi,Muhendislik Ve Mimarlik Fakultesi,Yazilim Muhendisligi Bolumu,Docent Mahmut Nedim Alpdemir
Ankara Bilim Universitesi,Hukuk Fakultesi,Kamu Hukuku Bolumu,Docent Serkan Agar
Ankara Bilim Universitesi,Insan Ve Toplum Bilimleri Fakultesi,Mutercim Ve Tercumanlik Bolumu,Docent Sebnem Duzgun
Ankara Bilim Universitesi,Muhendislik Ve Mimarlik Fakultesi,Bilgisayar Muhendisligi Bolumu,Docent Yavuz Selim Ozdemir
