University,Faculty,Department,"Title, Name and Surname"
Gaziantep Universitesi,Muhendislik Fakultesi,Insaat Muhendisligi Bolumu,Profesor Abdulkadir Cevik
Gaziantep Universitesi,Fen-edebiyat Fakultesi,Matematik Bolumu,Profesor Abdullah Kablan
Gaziantep Universitesi,Tip Fakultesi,Dahili Tip Bilimleri Bolumu,Profesor Abdullah Tuncay Demiryurek
Gaziantep Universitesi,Tip Fakultesi,Dahili Tip Bilimleri Bolumu,Profesor Abdurrahman Altindag
Gaziantep Universitesi,Fen-edebiyat Fakultesi,Tarih Bolumu,Profesor Abdurrahman Uzunaslan
Gaziantep Universitesi,Tip Fakultesi,Cerrahi Tip Bilimleri Bolumu,Profesor Abidin Murat Geyik
Gaziantep Universitesi,Fen-edebiyat Fakultesi,Biyoloji Bolumu,Profesor Abuzer Celekli
Gaziantep Universitesi,Muhendislik Fakultesi,Makine Muhendisligi Bolumu,Profesor Adem Atmaca
Gaziantep Universitesi,Muhendislik Fakultesi,Fizik Muhendisligi Bolumu,Profesor Ahmet Bingul
Gaziantep Universitesi,Tip Fakultesi,Cerrahi Tip Bilimleri Bolumu,Profesor Ahmet Erbagci
Gaziantep Universitesi,Muhendislik Fakultesi,Makine Muhendisligi Bolumu,Profesor Ahmet Erklig
Gaziantep Universitesi,Fen-edebiyat Fakultesi,Tarih Bolumu,Profesor Ahmet Gunduz
Gaziantep Universitesi,Muhendislik Fakultesi,Gida Muhendisligi Bolumu,Profesor Ahmet Kaya
Gaziantep Universitesi,Tip Fakultesi,Dahili Tip Bilimleri Bolumu,Profesor Ahmet Mete
Gaziantep Universitesi,Tip Fakultesi,Cerrahi Tip Bilimleri Bolumu,Profesor Ahmet Ferudun Isik
Gaziantep Universitesi,Gaziantep Egitim Fakultesi,Turkce Ve Sosyal Bilimler Egitimi Bolumu,Profesor Ahmet Ihsan Kaya
Gaziantep Universitesi,Muhendislik Fakultesi,Makine Muhendisligi Bolumu,Profesor Ahmet Ihsan Kutlar
Gaziantep Universitesi,Muhendislik Fakultesi,Elektrik-elektronik Muhendisligi Bolumu,Profesor Ahmet Mete Vural
Gaziantep Universitesi,Muhendislik Fakultesi,Fizik Muhendisligi Bolumu,Profesor Ahmet Necmeddin Yazici
Gaziantep Universitesi,Tip Fakultesi,Dahili Tip Bilimleri Bolumu,Profesor Ahmet Selim Kervancioglu
Gaziantep Universitesi,Iktisadi Ve Idari Bilimler Fakultesi,Iktisat Bolumu,Profesor Ahmet Yilmaz Ata
Gaziantep Universitesi,Gaziantep Egitim Fakultesi,Matematik Ve Fen Bilimleri Egitimi Bolumu,Profesor Ali Bozkurt
Gaziantep Universitesi,Tip Fakultesi,Dahili Tip Bilimleri Bolumu,Profesor Ali Gur
Gaziantep Universitesi,Muhendislik Fakultesi,Gida Muhendisligi Bolumu,Profesor Ali Coskun Dalgic
Gaziantep Universitesi,Muhendislik Fakultesi,Insaat Muhendisligi Bolumu,Profesor Ali Firat Cabalar
Gaziantep Universitesi,Tip Fakultesi,Cerrahi Tip Bilimleri Bolumu,Profesor Ali Irfan Kutlar
Gaziantep Universitesi,Muhendislik Fakultesi,Makine Muhendisligi Bolumu,Profesor Ali Tolga Bozdana
Gaziantep Universitesi,Tip Fakultesi,Cerrahi Tip Bilimleri Bolumu,Profesor Alper Mete
Gaziantep Universitesi,Tip Fakultesi,Dahili Tip Bilimleri Bolumu,Profesor Alper Ibrahim Dai
Gaziantep Universitesi,Muhendislik Fakultesi,Elektrik-elektronik Muhendisligi Bolumu,Profesor Arif Nacaroglu
Gaziantep Universitesi,Iktisadi Ve Idari Bilimler Fakultesi,Iktisat Bolumu,Profesor Arif Ozaydin
Gaziantep Universitesi,Dis Hekimligi Fakultesi,Klinik Bilimler Bolumu,Profesor Asli Secilmis
Gaziantep Universitesi,Turizm Fakultesi,Gastronomi Ve Mutfak Sanatlari Bolumu,Profesor Atinc Olcay
Gaziantep Universitesi,Fen-edebiyat Fakultesi,Arkeoloji Bolumu,Profesor Atilla Engin
Gaziantep Universitesi,Iktisadi Ve Idari Bilimler Fakultesi,Iktisat Bolumu,Profesor Atilla Ahmet Ugur
Gaziantep Universitesi,Muhendislik Fakultesi,Fizik Muhendisligi Bolumu,Profesor Ayda Beddall
Gaziantep Universitesi,Tip Fakultesi,Dahili Tip Bilimleri Bolumu,Profesor Ayhan Balkan
Gaziantep Universitesi,Gaziantep Egitim Fakultesi,Egitim Bilimleri Bolumu,Profesor Ayhan Dogan
Gaziantep Universitesi,Guzel Sanatlar Fakultesi,Resim Bolumu,Profesor Ayhan Ozer
Gaziantep Universitesi,Tip Fakultesi,Dahili Tip Bilimleri Bolumu,Profesor Aylin Akcali
Gaziantep Universitesi,Tip Fakultesi,Dahili Tip Bilimleri Bolumu,Profesor Aysun Baransel Isir
Gaziantep Universitesi,Tip Fakultesi,Dahili Tip Bilimleri Bolumu,Profesor Ayse Balat
