University ,Faculty,Department,"Title, Name and Surname"
Konya Gida Ve Tarim Universitesi,Sosyal Ve Beseri Bilimler Fakultesi,Yonetim Bilisim Sistemleri Bolumu,Profesor Ali Kilic
Konya Gida Ve Tarim Universitesi,Sosyal Ve Beseri Bilimler Fakultesi,Uluslararasi Ticaret Ve Isletmecilik Bolumu,Profesor Baki Riza Balci
Konya Gida Ve Tarim Universitesi,Sosyal Ve Beseri Bilimler Fakultesi,Yonetim Bilisim Sistemleri Bolumu,Profesor Cengiz Yilmaz
Konya Gida Ve Tarim Universitesi,Sosyal Ve Beseri Bilimler Fakultesi,Psikoloji Bolumu,Profesor Erkan Isik
Konya Gida Ve Tarim Universitesi,Sosyal Ve Beseri Bilimler Fakultesi,Ekonomi Bolumu,Profesor Erol Turan
Konya Gida Ve Tarim Universitesi,Muhendislik Ve Mimarlik Fakultesi,Yazilim Muhendisligi Bolumu,Profesor Izzet Gokhan Ozbilgin
Konya Gida Ve Tarim Universitesi,Muhendislik Ve Mimarlik Fakultesi,Bilgisayar Muhendisligi Bolumu,Profesor Kasim Oztoprak
Konya Gida Ve Tarim Universitesi,Tarim Ve Doga Bilimleri Fakultesi,Molekuler Biyoloji Ve Genetik Bolumu,Profesor Kivanc Bilecen
Konya Gida Ve Tarim Universitesi,Muhendislik Ve Mimarlik Fakultesi,Bilgisayar Muhendisligi Bolumu,Profesor Meltem Huri Baturay
Konya Gida Ve Tarim Universitesi,Sosyal Ve Beseri Bilimler Fakultesi,Psikoloji Bolumu,Profesor Ramazan Ari
Konya Gida Ve Tarim Universitesi,Muhendislik Ve Mimarlik Fakultesi,Bilgisayar Muhendisligi Bolumu,Profesor Reza Zare Hassanpour
Konya Gida Ve Tarim Universitesi,Muhendislik Ve Mimarlik Fakultesi,Yazilim Muhendisligi Bolumu,Docent Donay Nisa Kara
Konya Gida Ve Tarim Universitesi,Tarim Ve Doga Bilimleri Fakultesi,Bitkisel Uretim Ve Teknolojileri Bolumu,Docent Ezgi Aytac
Konya Gida Ve Tarim Universitesi,Tarim Ve Doga Bilimleri Fakultesi,Molekuler Biyoloji Ve Genetik Bolumu,Docent Gulcihan Gulseren
Konya Gida Ve Tarim Universitesi,Muhendislik Ve Mimarlik Fakultesi,Yazilim Muhendisligi Bolumu,Docent Guney Gursel
Konya Gida Ve Tarim Universitesi,Sosyal Ve Beseri Bilimler Fakultesi,Ekonomi Bolumu,Docent Haluk Gedikoglu
Konya Gida Ve Tarim Universitesi,Sosyal Ve Beseri Bilimler Fakultesi,Psikoloji Bolumu,Docent Hatice Harmanci
Konya Gida Ve Tarim Universitesi,Sosyal Ve Beseri Bilimler Fakultesi,Psikoloji Bolumu,Docent Hatice Deniz Gunaydin
Konya Gida Ve Tarim Universitesi,Muhendislik Ve Mimarlik Fakultesi,Bilgisayar Muhendisligi Bolumu,Docent Senol Zafer Erdogan
Konya Gida Ve Tarim Universitesi,Sosyal Ve Beseri Bilimler Fakultesi,Yonetim Bilisim Sistemleri Bolumu,Docent Tugba Sari
Konya Gida Ve Tarim Universitesi,Rektorluk,Yabanci Diller Bolumu,Ogretim Gorevlisi Aslihan Erdogan
Konya Gida Ve Tarim Universitesi,Rektorluk,Yabanci Diller Bolumu,Ogretim Gorevlisi Asuman Torlak
Konya Gida Ve Tarim Universitesi,Rektorluk,Yabanci Diller Bolumu,Ogretim Gorevlisi Canan Buyukdogan
Konya Gida Ve Tarim Universitesi,Muhendislik Ve Mimarlik Fakultesi,Bilgisayar Muhendisligi Bolumu,Ogretim Gorevlisi Elif Uysal
Konya Gida Ve Tarim Universitesi,Rektorluk,Yabanci Diller Bolumu,Ogretim Gorevlisi Emine Melike Efeoglu
Konya Gida Ve Tarim Universitesi,Rektorluk,Yabanci Diller Bolumu,Ogretim Gorevlisi Fatma Onder
Konya Gida Ve Tarim Universitesi,Rektorluk,Yabanci Diller Bolumu,Ogretim Gorevlisi Gonul Ozsari
Konya Gida Ve Tarim Universitesi,Tarim Ve Doga Bilimleri Fakultesi,Bitkisel Uretim Ve Teknolojileri Bolumu,Ogretim Gorevlisi Harun Meral
Konya Gida Ve Tarim Universitesi,Rektorluk,Yabanci Diller Bolumu,Ogretim Gorevlisi Hatice Tugba Karagoz
Konya Gida Ve Tarim Universitesi,Rektorluk,Yabanci Diller Bolumu,Ogretim Gorevlisi Nagihan Doyen
Konya Gida Ve Tarim Universitesi,Rektorluk,Yabanci Diller Bolumu,Ogretim Gorevlisi Nesibe Aslan
Konya Gida Ve Tarim Universitesi,Rektorluk,Yabanci Diller Bolumu,Ogretim Gorevlisi Nursah Basaran
