University,Faculty,Department,"Title, Name and Surname"
Akdeniz Universitesi,Iktisadi Ve Idari Bilimler Fakultesi,Calisma Ekonomisi Ve Endustri Iliskileri Bolumu,Profesor Abdulkadir Kokocak
Akdeniz Universitesi,Tip Fakultesi,Cerrahi Tip Bilimleri Bolumu,Profesor Abdullah Boztosun
Akdeniz Universitesi,Edebiyat Fakultesi,Sanat Tarihi Bolumu,Profesor Abdullah Karacag
Akdeniz Universitesi,Tip Fakultesi,Cerrahi Tip Bilimleri Bolumu,Profesor Abdullah Kisaoglu
Akdeniz Universitesi,Edebiyat Fakultesi,Turk Dili Ve Edebiyati Bolumu,Profesor Abdullah Kok
Akdeniz Universitesi,Fen Fakultesi,Matematik Bolumu,Profesor Abdullah Aziz Ergin
Akdeniz Universitesi,Tip Fakultesi,Dahili Tip Bilimleri Bolumu,Profesor Abdullah Utku Senol
Akdeniz Universitesi,Spor Bilimleri Fakultesi,Antrenorluk Egitimi Bolumu,Profesor Abdurrahman Aktop
Akdeniz Universitesi,Tip Fakultesi,Cerrahi Tip Bilimleri Bolumu,Profesor Abdurrahman Karaman
Akdeniz Universitesi,Tip Fakultesi,Dahili Tip Bilimleri Bolumu,Profesor Adil Boz
Akdeniz Universitesi,Iktisadi Ve Idari Bilimler Fakultesi,Isletme Bolumu,Profesor Adnan Donmez
Akdeniz Universitesi,Spor Bilimleri Fakultesi,Beden Egitimi Ve Spor Bolumu,Profesor Adnan Turgut
Akdeniz Universitesi,Muhendislik Fakultesi,Makine Muhendisligi Bolumu,Profesor Afsin Gungor
Akdeniz Universitesi,Fen Fakultesi,Biyoloji Bolumu,Profesor Ahmet Aksoy
Akdeniz Universitesi,Iletisim Fakultesi,Halkla Iliskiler Ve Tanitim Bolumu,Profesor Ahmet Ayhan
Akdeniz Universitesi,Iktisadi Ve Idari Bilimler Fakultesi,Isletme Bolumu,Profesor Ahmet Bayaner
Akdeniz Universitesi,Egitim Fakultesi,Turkce Ve Sosyal Bilimler Egitimi Bolumu,Profesor Ahmet Koc
Akdeniz Universitesi,Ziraat Fakultesi,Tarimsal Yapilar Ve Sulama Bolumu,Profesor Ahmet Kurunc
Akdeniz Universitesi,Muhendislik Fakultesi,Gida Muhendisligi Bolumu,Profesor Ahmet Kucukcetin
Akdeniz Universitesi,Ziraat Fakultesi,Tarim Makineleri Ve Teknolojileri Muhendisligi Bolumu,Profesor Ahmet Kurklu
Akdeniz Universitesi,Ilahiyat Fakultesi,Temel Islam Bilimleri Bolumu,Profesor Ahmet Ogke
Akdeniz Universitesi,Tip Fakultesi,Temel Tip Bilimleri Bolumu,Profesor Ahmet Yardimci
Akdeniz Universitesi,Turizm Fakultesi,Turizm Isletmeciligi Bolumu,Profesor Ahmet Akin Aksu
Akdeniz Universitesi,Iktisadi Ve Idari Bilimler Fakultesi,Iktisat Bolumu,Profesor Ahmet Ali Koc
Akdeniz Universitesi,Tip Fakultesi,Dahili Tip Bilimleri Bolumu,Profesor Ahmet Firat Bektas
Akdeniz Universitesi,Tip Fakultesi,Dahili Tip Bilimleri Bolumu,Profesor Ahmet Gokhan Arslan
Akdeniz Universitesi,Tip Fakultesi,Dahili Tip Bilimleri Bolumu,Profesor Ahmet Hakan Nur
