University,Faculty,Department,"Title, Name and Surname"
Bursa Teknik Universitesi,Insan Ve Toplum Bilimleri Fakultesi,Isletme Bolumu,Profesor Abdulkadir Kaya
Bursa Teknik Universitesi,Insan Ve Toplum Bilimleri Fakultesi,Psikoloji Bolumu,Profesor Abdullah Isiklar
Bursa Teknik Universitesi,Muhendislik Ve Doga Bilimleri Fakultesi,Matematik Bolumu,Profesor Abdullah Magden
Bursa Teknik Universitesi,Orman Fakultesi,Orman Muhendisligi Bolumu,Profesor Abdullah Emin Akay
Bursa Teknik Universitesi,Insan Ve Toplum Bilimleri Fakultesi,Sosyoloji Bolumu,Profesor Adem Dag
Bursa Teknik Universitesi,Muhendislik Ve Doga Bilimleri Fakultesi,Mekatronik Muhendisligi Bolumu,Profesor Ahmet Fenercioglu
Bursa Teknik Universitesi,Muhendislik Ve Doga Bilimleri Fakultesi,Mekatronik Muhendisligi Bolumu,Profesor Ahmet Mert
Bursa Teknik Universitesi,Muhendislik Ve Doga Bilimleri Fakultesi,Makine Muhendisligi Bolumu,Profesor Ahmet Hanifi Ertas
Bursa Teknik Universitesi,Insan Ve Toplum Bilimleri Fakultesi,Sosyoloji Bolumu,Profesor Ahmet Zeki Unal
Bursa Teknik Universitesi,Orman Fakultesi,Orman Muhendisligi Bolumu,Profesor Ali Ihsan Kadiogullari
Bursa Teknik Universitesi,Orman Fakultesi,Peyzaj Mimarligi Bolumu,Profesor Anil Akin Tanriover
Bursa Teknik Universitesi,Orman Fakultesi,Orman Endustrisi Muhendisligi Bolumu,Profesor Arif Karademir
Bursa Teknik Universitesi,Muhendislik Ve Doga Bilimleri Fakultesi,Fizik Bolumu,Profesor Asli Ayten Kaya
Bursa Teknik Universitesi,Muhendislik Ve Doga Bilimleri Fakultesi,Gida Muhendisligi Bolumu,Profesor Ayca Meric Hasanoglu
Bursa Teknik Universitesi,Muhendislik Ve Doga Bilimleri Fakultesi,Polimer Malzeme Muhendisligi Bolumu,Profesor Ayse Bedeloglu
Bursa Teknik Universitesi,Muhendislik Ve Doga Bilimleri Fakultesi,Endustri Muhendisligi Bolumu,Profesor Aytac Yildiz
Bursa Teknik Universitesi,Muhendislik Ve Doga Bilimleri Fakultesi,Fizik Bolumu,Profesor Baris Tamer Tonguc
Bursa Teknik Universitesi,Muhendislik Ve Doga Bilimleri Fakultesi,Insaat Muhendisligi Bolumu,Profesor Beyhan Bayhan
Bursa Teknik Universitesi,Orman Fakultesi,Orman Muhendisligi Bolumu,Profesor Burak Aricak
Bursa Teknik Universitesi,Muhendislik Ve Doga Bilimleri Fakultesi,Metalurji Ve Malzeme Muhendisligi Bolumu,Profesor Cem Kahruman
Bursa Teknik Universitesi,Muhendislik Ve Doga Bilimleri Fakultesi,Elektrik-elektronik Muhendisligi Bolumu,Profesor Cemal Hanilci
Bursa Teknik Universitesi,Muhendislik Ve Doga Bilimleri Fakultesi,Cevre Muhendisligi Bolumu,Profesor Deniz Ucar
Bursa Teknik Universitesi,Muhendislik Ve Doga Bilimleri Fakultesi,Metalurji Ve Malzeme Muhendisligi Bolumu,Profesor Deniz Uzunsoy
Bursa Teknik Universitesi,Muhendislik Ve Doga Bilimleri Fakultesi,Metalurji Ve Malzeme Muhendisligi Bolumu,Profesor Ebru Devrim Sam Parmak
Bursa Teknik Universitesi,Orman Fakultesi,Orman Muhendisligi Bolumu,Profesor Ebubekir Gundogdu
Bursa Teknik Universitesi,Muhendislik Ve Doga Bilimleri Fakultesi,Kimya Bolumu,Profesor Ece Unur Yilmaz
