University ,Faculty,Department,"Title, Name and Surname"
Abdullah Gul Universitesi,Mimarlik Fakultesi,Mimarlik Bolumu,Profesor Burak Asiliskender
Abdullah Gul Universitesi,Muhendislik Fakultesi,Insaat Muhendisligi Bolumu,Profesor Burak Uzal
Abdullah Gul Universitesi,Insan Ve Toplum Bilimleri Fakultesi,Psikoloji Bolumu,Profesor Engin Arik
Abdullah Gul Universitesi,Yonetim Bilimleri Fakultesi,Isletme Bolumu,Profesor Erk Hacihasanoglu
Abdullah Gul Universitesi,Muhendislik Fakultesi,Elektrik-elektronik Muhendisligi Bolumu,Profesor Evren Mutlugun
Abdullah Gul Universitesi,Yonetim Bilimleri Fakultesi,Ekonomi Bolumu,Profesor Eyup Dogan
Abdullah Gul Universitesi,Muhendislik Fakultesi,Malzeme Bilimi Ve Nanoteknoloji Muhendisligi Bolumu,Profesor Hakan Usta
Abdullah Gul Universitesi,Muhendislik Fakultesi,Elektrik-elektronik Muhendisligi Bolumu,Profesor Irfan Alan
Abdullah Gul Universitesi,Muhendislik Fakultesi,Insaat Muhendisligi Bolumu,Profesor Kamil Aydin
Abdullah Gul Universitesi,Muhendislik Fakultesi,Malzeme Bilimi Ve Nanoteknoloji Muhendisligi Bolumu,Profesor Mehmet Sahin
Abdullah Gul Universitesi,Muhendislik Fakultesi,Malzeme Bilimi Ve Nanoteknoloji Muhendisligi Bolumu,Profesor Murat Durandurdu
Abdullah Gul Universitesi,Muhendislik Fakultesi,Insaat Muhendisligi Bolumu,Profesor Nigmet Uzal
Abdullah Gul Universitesi,Yasam Ve Doga Bilimleri Fakultesi,Biyomuhendislik Bolumu,Profesor Sevil Dincer Isoglu
Abdullah Gul Universitesi,Muhendislik Fakultesi,Muhendislik Bilimleri Bolumu,Docent Abdulkadir Dogan
Abdullah Gul Universitesi,Yonetim Bilimleri Fakultesi,Isletme Bolumu,Docent Adil Oran
Abdullah Gul Universitesi,Insan Ve Toplum Bilimleri Fakultesi,Psikoloji Bolumu,Docent Ahmet Coymak
Abdullah Gul Universitesi,Muhendislik Fakultesi,Insaat Muhendisligi Bolumu,Docent Ali Ersin Dincer
Abdullah Gul Universitesi,Yasam Ve Doga Bilimleri Fakultesi,Molekuler Biyoloji Ve Genetik Bolumu,Docent Aysun Adan
Abdullah Gul Universitesi,Mimarlik Fakultesi,Mimarlik Bolumu,Docent Buket Metin
Abdullah Gul Universitesi,Muhendislik Fakultesi,Makine Muhendisligi Bolumu,Docent Burak Bal
Abdullah Gul Universitesi,Muhendislik Fakultesi,Bilgisayar Muhendisligi Bolumu,Docent Burcu Gungor
Abdullah Gul Universitesi,Insan Ve Toplum Bilimleri Fakultesi,Siyaset Bilimi Ve Uluslararasi Iliskiler Bolumu,Docent Fatma Armagan Teke Lloyd
Abdullah Gul Universitesi,Yonetim Bilimleri Fakultesi,Isletme Bolumu,Docent Fatma Selen Madenoglu
