University,Faculty,Department,"Title, Name and Surname"
Dokuz Eylul Universitesi,Edebiyat Fakultesi,Psikoloji Bolumu,Profesor Abbas Turnuklu
Dokuz Eylul Universitesi,Tip Fakultesi,Dahili Tip Bilimleri Bolumu,Profesor Abdullah Kumral
Dokuz Eylul Universitesi,Muhendislik Fakultesi,Makine Muhendisligi Bolumu,Profesor Abdullah Secgin
Dokuz Eylul Universitesi,Muhendislik Fakultesi,Maden Muhendisligi Bolumu,Profesor Abdullah Seyrankaya
Dokuz Eylul Universitesi,Fen Fakultesi,Istatistik Bolumu,Profesor Abdullah Firat Ozdemir
Dokuz Eylul Universitesi,Muhendislik Fakultesi,Cevre Muhendisligi Bolumu,Profesor Abdurrahman Bayram
Dokuz Eylul Universitesi,Tip Fakultesi,Dahili Tip Bilimleri Bolumu,Profesor Abdurrahman Comlekci
Dokuz Eylul Universitesi,Bergama Meslek Yuksekokulu,Motorlu Araclar Ve Ulastirma Teknolojileri Bolumu,Profesor Abdurrahman Tosun
Dokuz Eylul Universitesi,Tip Fakultesi,Temel Tip Bilimleri Bolumu,Profesor Abdurrahman Huseyin Baskin
Dokuz Eylul Universitesi,Tip Fakultesi,Cerrahi Tip Bilimleri Bolumu,Profesor Abidin Cenk Erdal
Dokuz Eylul Universitesi,Tip Fakultesi,Dahili Tip Bilimleri Bolumu,Profesor Adem Aydin
Dokuz Eylul Universitesi,Muhendislik Fakultesi,Endustri Muhendisligi Bolumu,Profesor Adil Baykasoglu
Dokuz Eylul Universitesi,Ilahiyat Fakultesi,Felsefe Ve Din Bilimleri Bolumu,Profesor Adil Ciftci
Dokuz Eylul Universitesi,Isletme Fakultesi,Iktisat Bolumu,Profesor Adnan Kasman
Dokuz Eylul Universitesi,Edebiyat Fakultesi,Psikoloji Bolumu,Profesor Adviye Esin Yilmaz Samanci
Dokuz Eylul Universitesi,Ilahiyat Fakultesi,Temel Islam Bilimleri Bolumu,Profesor Ahmet Baglioglu
Dokuz Eylul Universitesi,Tip Fakultesi,Cerrahi Tip Bilimleri Bolumu,Profesor Ahmet Karakasli
Dokuz Eylul Universitesi,Iktisadi Ve Idari Bilimler Fakultesi,Maliye Bolumu,Profesor Ahmet Ozen
Dokuz Eylul Universitesi,Hukuk Fakultesi,Ozel Hukuk Bolumu,Profesor Ahmet Turk
Dokuz Eylul Universitesi,Tip Fakultesi,Cerrahi Tip Bilimleri Bolumu,Profesor Ahmet Adil Esen
Dokuz Eylul Universitesi,Iktisadi Ve Idari Bilimler Fakultesi,Isletme Bolumu,Profesor Ahmet Erdal Ozkol
